,Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID
40,20579,Low,0.01,12.53,0.5,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,0.38,West,Montana,Helena,59601,2013-10-02,2013-10-04,152.7867,17,221.43,90039
41,24063,Not Specified,0.07,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,West,Montana,Missoula,59801,2010-05-21,2010-05-23,-114.63990000000001,18,231.79,90032
42,25082,Not Specified,0.06,64.65,35.0,20,Marion Nolan Kaplan,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,0.8,Central,Nebraska,Bellevue,68005,2012-05-31,2012-06-02,-929.68,13,802.21,90036
43,25083,Not Specified,0.0,15.23,27.75,20,Marion Nolan Kaplan,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,Central,Nebraska,Bellevue,68005,2012-05-31,2012-06-01,-53.784,1,24.48,90036
44,25711,Medium,0.0,30.98,17.08,20,Marion Nolan Kaplan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,0.4,Central,Nebraska,Bellevue,68005,2013-03-07,2013-03-08,-41.82,1,49.61,90037
45,5890,High,0.05,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,East,New York,New York City,10012,2010-05-15,2010-05-16,384.38,70,1876.69,41793
46,6062,Not Specified,0.08,5.0,3.39,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,East,New York,New York City,10012,2010-05-21,2010-05-22,-17.49,58,293.06,42949
47,6063,Not Specified,0.07,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,East,New York,New York City,10012,2010-05-21,2010-05-23,-114.63990000000001,71,914.29,42949
48,7711,Medium,0.0,30.98,17.08,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,0.4,East,New York,New York City,10012,2011-03-07,2011-03-08,-41.82,1,49.61,55269
49,1359,Low,0.05,5.85,2.27,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,East,New York,New York City,10012,2011-04-20,2011-04-24,-6.82,9,54.79,9895
50,2459,Critical,0.05,7.77,9.23,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,East,New York,New York City,10012,2012-04-06,2012-04-08,-96.33,18,156.38,17860
51,3763,Critical,0.08,42.98,4.62,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,0.56,East,New York,New York City,10012,2012-05-15,2012-05-16,461.65,60,2585.97,26887
52,3764,Critical,0.07,8.04,8.94,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",0.4,East,New York,New York City,10012,2012-05-15,2012-05-15,-117.1045,36,303.4,26887
53,7082,Not Specified,0.06,64.65,35.0,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,0.8,East,New York,New York City,10012,2012-05-31,2012-06-02,-929.68,50,3085.41,50533
54,7083,Not Specified,0.0,15.23,27.75,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,East,New York,New York City,10012,2012-05-31,2012-06-01,-53.784,5,122.4,50533
55,2578,Low,0.02,110.98,30.0,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,0.71,East,New York,New York City,10012,2013-10-02,2013-10-04,126.31,88,10303.73,18596
56,2579,Low,0.01,12.53,0.5,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,0.38,East,New York,New York City,10012,2013-10-02,2013-10-04,223.38,67,872.68,18596
57,19249,High,0.05,14.34,5.0,23,Lynn Moss,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Nu-Dell Leatherette Frames,0.49,West,California,Laguna Hills,92653,2011-11-11,2011-11-12,284.52600000000007,36,519.23,87655
58,19250,High,0.0,30.98,8.74,23,Lynn Moss,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1979,0.4,West,California,Laguna Hills,92653,2011-11-11,2011-11-12,859.2638999999999,37,1245.31,87655
59,18350,Not Specified,0.07,22.84,5.47,23,Lynn Moss,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1929,0.39,West,California,Laguna Hills,92653,2012-09-10,2012-09-13,83.24,7,165.11,87660
60,18478,Low,0.1,146.05,80.2,23,Lynn Moss,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BPI Conference Tables,0.71,West,California,Laguna Hills,92653,2013-11-18,2013-11-25,353.7721600000002,11,1591.71,87669
61,20631,High,0.06,55.48,14.3,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,California,Laguna Niguel,92677,2010-01-28,2010-01-29,-28.2968,1,67.49,87651
62,20632,High,0.02,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,West,California,Laguna Niguel,92677,2010-01-28,2010-01-30,-5.3072,1,2.25,87651
63,20309,Not Specified,0.07,205.99,2.5,24,Edna Thomas,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V70,0.59,West,California,Laguna Niguel,92677,2012-03-02,2012-03-04,1489.8410999999999,13,2159.19,87656
64,20625,High,0.06,21.38,8.99,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,0.59,West,California,Laguna Niguel,92677,2012-12-19,2012-12-20,-23.415,5,105.99,87662
65,21196,Critical,0.07,11.7,6.96,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Harmony HEPA Quiet Air Purifiers,0.5,West,California,Laguna Niguel,92677,2013-01-13,2013-01-14,-88.102,8,89.77,87663
66,21253,High,0.02,5.98,3.85,25,Virginia Hardison,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",0.68,West,California,Lake Elsinore,92530,2012-04-18,2012-04-20,-27.13,1,7.12,87657
67,21254,High,0.05,5.98,5.2,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1992,0.36,West,California,Lake Elsinore,92530,2012-04-18,2012-04-20,-10.58,1,7.81,87657
68,21251,Critical,0.06,25.98,5.37,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,3M Office Air Cleaner,0.5,West,California,Lake Elsinore,92530,2013-07-02,2013-07-04,86.51776,7,174.54,87666
69,21252,Critical,0.05,155.06,7.07,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,West,California,Lake Elsinore,92530,2013-07-02,2013-07-04,1268.4891,12,1838.39,87666
70,22410,Medium,0.08,59.98,3.99,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,0.57,West,California,Lake Forest,92630,2012-06-27,2012-06-29,420.984,11,619.14,87658
71,22737,Not Specified,0.0,2.89,0.5,26,Marguerite Kane,Express Air,Corporate,Office Supplies,Labels,Small Box,Avery 498,0.38,West,California,Lake Forest,92630,2013-09-02,2013-09-03,19.409699999999997,7,28.13,87667
72,21292,High,0.09,3.69,0.5,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 52,0.38,West,California,Lake Forest,92630,2013-12-11,2013-12-12,37.3704,15,54.16,87670
73,21293,High,0.06,65.99,8.99,26,Marguerite Kane,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V 3600 Series,0.58,West,California,Lake Forest,92630,2013-12-11,2013-12-12,-85.606752,3,170.67,87670
74,23967,Not Specified,0.04,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,West,California,Lakewood,90712,2010-11-02,2010-11-04,8.894000000000005,12,54.78,87652
75,23535,Low,0.1,35.44,19.99,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1880,0.38,West,California,Lakewood,90712,2012-07-12,2012-07-14,-47.01,4,142.51,87659
76,23536,Low,0.06,55.48,14.3,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,California,Lakewood,90712,2012-07-12,2012-07-17,346.7043,9,502.47,87659
77,23505,Critical,0.0,8.09,7.96,27,Guy Gallagher,Express Air,Corporate,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,West,California,Lakewood,90712,2012-10-26,2012-10-26,-171.2664,23,204.57,87661
78,23506,Critical,0.06,14.2,5.3,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,0.46,West,California,Lakewood,90712,2012-10-26,2012-10-28,33.4144,11,161.11,87661
79,23968,Not Specified,0.01,65.99,8.99,27,Guy Gallagher,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,SC-3160,0.59,West,California,Lakewood,90712,2013-11-02,2013-11-04,847.943712,29,1730.04,87668
80,24987,High,0.06,2.88,0.7,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 346,0.56,West,California,Lancaster,93534,2011-01-22,2011-01-23,-2.2072,1,3.41,87653
81,24074,Critical,0.07,225.04,11.79,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,0.42,West,California,Lancaster,93534,2013-04-14,2013-04-16,28.81,1,226.03,87665
82,25324,Not Specified,0.08,65.99,3.9,29,Elizabeth Walker,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC Series,0.55,West,California,Lawndale,90260,2011-01-30,2011-02-01,-120.52304,3,164.1,87654
83,25323,Not Specified,0.08,3.08,0.99,29,Elizabeth Walker,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 481,0.37,West,California,Lawndale,90260,2013-01-30,2013-01-31,-1.6864000000000001,1,3.85,87664
84,18877,High,0.01,6.48,6.65,31,Alice Capps,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1966,0.36,West,Oregon,Eugene,97405,2012-08-11,2012-08-13,-43.3316,15,99.56,89206
85,23509,High,0.08,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,0.59,West,Oregon,Grants Pass,97526,2010-02-22,2010-02-23,144.69,13,424.68,89199
86,23612,High,0.01,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4,West,Oregon,Grants Pass,97526,2010-03-27,2010-03-28,-35.8788,2,40.17,89200
87,23278,Medium,0.09,125.99,7.69,32,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,0.59,West,Oregon,Grants Pass,97526,2010-07-20,2010-07-22,209.997,8,783.55,89202
88,19355,Low,0.06,205.99,8.99,32,Matthew Berman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,TimeportP7382,0.56,West,Oregon,Grants Pass,97526,2010-09-12,2010-09-19,2568.096,22,3838.14,89203
89,21213,Critical,0.08,8.95,2.01,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",0.39,West,Oregon,Grants Pass,97526,2011-10-06,2011-10-08,85.86359999999999,15,133.07,89204
90,22221,High,0.06,449.99,49.0,32,Matthew Berman,Delivery Truck,Corporate,Technology,Copiers and Fax,Jumbo Drum,Canon PC940 Copier,0.38,West,Oregon,Grants Pass,97526,2013-06-12,2013-06-14,345.0,5,2157.25,89207
91,23654,Not Specified,0.03,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,0.35,West,Oregon,Gresham,97030,2010-06-15,2010-06-17,-84.4376,13,58.68,89201
92,23655,Not Specified,0.04,2.94,0.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,0.58,West,Oregon,Gresham,97030,2010-06-15,2010-06-16,24.312,18,53.1,89201
93,25327,Medium,0.05,4.82,5.24,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Turn Tabs Binder Tool for Ring Binders,0.39,West,Oregon,Gresham,97030,2012-01-26,2012-01-27,-75.12168,5,24.27,89205
94,24531,Critical,0.05,70.98,30.0,33,Ricky Hensley,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex High-Tech Fabric Mesh Task Chair,0.78,West,Oregon,Gresham,97030,2013-08-16,2013-08-18,-162.15032000000002,9,640.97,89208
95,24532,Critical,0.05,4.98,4.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),0.38,West,Oregon,Gresham,97030,2013-08-16,2013-08-18,-14.992640000000002,9,46.63,89208
96,25223,Not Specified,0.0,6783.02,24.49,35,Milton Bland,Regular Air,Small Business,Technology,Office Machines,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,0.39,West,Oregon,Gresham,97030,2012-11-27,2012-11-28,2396.8795800000025,3,21366.51,91256
97,21026,Low,0.07,65.99,3.99,35,Milton Bland,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7760,0.59,West,Oregon,Gresham,97030,2013-05-28,2013-06-02,165.50099999999998,7,394.37,91257
98,25224,Not Specified,0.02,9.27,4.39,36,Ray Morgan,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",0.38,West,Oregon,Hillsboro,97123,2012-11-27,2012-11-29,71.434,29,272.98,91256
99,25225,Not Specified,0.03,6.68,6.15,36,Ray Morgan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1968,0.37,West,Oregon,Hillsboro,97123,2012-11-27,2012-11-29,5.650000000000006,10,73.81,91256
100,25226,Not Specified,0.1,5.78,5.67,37,Stacy Chandler,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1978,0.36,West,Oregon,Keizer,97303,2012-11-27,2012-11-30,7.670000000000009,11,62.59,91256
101,20935,Medium,0.02,1.68,1.57,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,Central,Illinois,Alton,62002,2011-07-03,2011-07-04,-30.54,10,17.12,88682
102,20936,Medium,0.1,7.08,2.35,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,0.47,Central,Illinois,Alton,62002,2011-07-03,2011-07-05,23.82,14,90.8,88682
103,18911,Critical,0.07,28.15,8.99,39,Ian L O'Donnell,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",0.57,Central,Illinois,Alton,62002,2013-06-12,2013-06-15,-15.463999999999999,4,113.59,88684
104,18673,Not Specified,0.09,7.98,6.5,40,Seth Grimes,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,Iris Project Case,0.59,West,Washington,Anacortes,98221,2013-03-21,2013-03-23,-71.44,4,30.96,88683
105,22406,Not Specified,0.09,45.99,4.99,42,Alexandra Fuller,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,KF 788,0.56,West,Washington,Puyallup,98373,2012-11-05,2012-11-06,24.186800000000034,8,299.74,91455
106,23753,Not Specified,0.07,8.09,7.96,42,Alexandra Fuller,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,West,Washington,Puyallup,98373,2013-11-26,2013-11-29,63.48448000000002,36,291.56,91458
